unit_code;cocunut;tiger_asset_class_id;min_exposure;min_co_exposure_threshold;min_turnover;min_turnover_threshold
RBHU;74985;6;151091;1238000;5650000;4136000
RBHU;1552217;6;361501;1238000;7510000;4136000
RBHU;442765;6;4;1238000;4770000;4136000
RBHU;956807;6;2;1238000;5280000;4136000
RBHU;82442;6;771499;1238000;4150000;4136000
RBHU;1645309;6;624854;1238000;4610000;4136000
RBHU;689920;6;24946;1238000;5920000;4136000
RBHU;1334421;6;24599;1238000;6300000;4136000
RBHU;1919561;6;12514;1238000;4490000;4136000
RBHU;75726;6;96071;1238000;5990000;4136000
RBHU;807263;6;74917;1238000;6780000;4136000
RBHU;960481;6;75097;1238000;5460000;4136000
RBHU;507481;6;86670;1238000;7250000;4136000
RBHU;1802608;6;261820;1238000;4880000;4136000
RBHU;1350053;6;1206511;1238000;4660000;4136000
RBHU;804805;6;948390;1238000;5360000;4136000
RBHU;645349;6;350904;1238000;4530000;4136000
RBHU;81561;6;3;1238000;35000000;4136000
RBHU;1399240;6;98495;1238000;5280000;4136000
RBHU;751445;6;66;1238000;4140000;4136000
RBHU;1334867;6;845758;1238000;4470000;4136000
RBHU;160678;6;74837;1238000;8310000;4136000
RBHU;1608129;6;52490;1238000;4940000;4136000
RBHU;1027241;6;372172;1238000;4610000;4136000
RBHU;1448925;6;18178;1238000;4290000;4136000
RBHU;841866;6;291790;1238000;8020000;4136000
RBHU;755304;6;931154;1238000;5080000;4136000
RBHU;74880;6;124729;1238000;4360000;4136000
RBHU;290121;6;169631;1238000;5420000;4136000
RBHU;89187;6;354384;1238000;4480000;4136000
RBHU;1487333;6;3;1238000;6040000;4136000
RBHU;1996904;6;355675;1238000;5890000;4136000
RBHU;442751;6;3;1238000;6300000;4136000
RBHU;660156;6;2;1238000;4550000;4136000
RBHU;1395226;6;226728;1238000;9030000;4136000
RBHU;699885;6;281473;1238000;5050000;4136000
RBHU;1341655;6;256347;1238000;5820000;4136000
RBHU;644828;6;1260003;1238000;4660000;4136000
RBHU;673930;6;304450;1238000;7610000;4136000
RBHU;75373;6;583725;1238000;4190000;4136000
RBHU;230548;6;78;1238000;2021710000;4136000
RBHU;1570908;6;112005;1238000;4940000;4136000
RBHU;2292918;6;624179;1238000;5190000;4136000
RBHU;1322751;6;207699;1238000;4170000;4136000
RBHU;1515239;6;149674;1238000;4940000;4136000
RBHU;469277;6;180456;1238000;7140000;4136000
RBHU;345023;6;37592;1238000;6300000;4136000
RBHU;321417;6;649403;1238000;4830000;4136000
RBHU;745054;6;228953;1238000;4900000;4136000
RBHU;869609;6;23;1238000;7310000;4136000
RBHU;318506;6;17032;1238000;5140000;4136000
RBHU;448503;6;50813;1238000;5480000;4136000
RBHU;710984;6;601163;1238000;4580000;4136000
RBHU;1529272;6;592834;1238000;6830000;4136000
RBHU;84993;6;465075;1238000;4520000;4136000
RBHU;2199166;6;69138;1238000;4600000;4136000
RBHU;1976139;6;581733;1238000;5090000;4136000
RBHU;197132;6;901121;1238000;4490000;4136000
RBHU;74913;6;530519;1238000;4340000;4136000
RBHU;781492;6;74837;1238000;6280000;4136000
RBHU;2198255;6;30617;1238000;5180000;4136000
RBHU;786801;6;3;1238000;5240000;4136000
RBHU;665625;6;15;1238000;23900000;4136000
RBHU;749098;6;228007;1238000;6780000;4136000
RBHU;184448;6;112258;1238000;5190000;4136000
RBHU;688596;6;24946;1238000;5190000;4136000
RBHU;1497763;6;74837;1238000;6490000;4136000
RBHU;950935;6;49891;1238000;5240000;4136000
RBHU;1892492;6;75869;1238000;5480000;4136000
RBHU;2270428;6;326647;1238000;4170000;4136000
RBHU;684398;6;2;1238000;7100000;4136000
